Transaction ID,Customer ID,Amount,Date,Status,Branch ID,Branch Name,City,Payment Mode,Merchant Name,Product Category
435d1aabc447e136f62e3e5a2c7c01c4,c4ab960a735d421c3a699e7625e47e40,826.51,2023-10-16,Successful,KOR502,Koramangala,Bangalore,Debit,Merchant_84,Groceries
e4933ba25e461ba32f43920cc90a47a2,63e0a84d4d9cb70db675067e5bc6c92e,504.79,2023-11-17,Failed,KOR221,Koramangala,Bangalore,Net Banking,Merchant_1,Electronics
75148dbf069d8fa542b9670e7ad9e11d,86420417e2dbdc46c557354fedaa2848,920.79,2023-04-12,Successful,KOR498,Koramangala,Bangalore,Net Banking,Merchant_10,Groceries
2cc3f02d2d10cf2dc6cc7b4a1568f352,c17355c0baa71a0a47d3a54094ff506f,945.81,2023-03-02,Failed,KOR700,Koramangala,Bangalore,UPI,Merchant_7,Electronics
0990599b0b1912b1139904ec02f3bccf,0ba8110f1cd2285ece2e5d99468ef94b,536.36,2023-10-08,Failed,KOR292,Koramangala,Bangalore,Debit,Merchant_54,Groceries
d5637ce15316977685d61af7f33359bc,01b9076209367b2b137e08d1d1476426,898.45,2023-04-04,Failed,KOR782,Koramangala,Bangalore,UPI,Merchant_31,Groceries
f2fd742e624430557e1b9915ff170c32,9d0dce58e72fe5c34e0d26c86baed382,755.68,2023-11-17,Failed,KOR288,Koramangala,Bangalore,UPI,Merchant_46,Electronics
3734862bd77121aadd6cf1e0a661ce31,bfb5beb4ad8a63bd8631e6b8d88605fa,719.81,2023-09-16,Failed,KOR645,Koramangala,Bangalore,Credit,Merchant_28,Clothing
4074c6a3c4be6057475f1411ce6e3ee0,c1b5d06c3a87c7acb2b252850f9de74f,982.11,2023-04-22,Failed,KOR232,Koramangala,Bangalore,UPI,Merchant_35,Electronics
a8766b091cbba0287729916ae8c4b245,69a70d666f2a39807aaf698a0f6e74df,41.37,2023-06-15,Successful,KOR250,Koramangala,Bangalore,Net Banking,Merchant_85,Groceries
3690afe7a18df60381d2d5724a12342a,7998c48e93692e8cc4ee5ff037fbf2f2,865.01,2023-06-04,Successful,KOR727,Koramangala,Bangalore,Credit,Merchant_97,Clothing
