Transaction ID,Customer ID,Amount,Date,Status,Branch ID,Branch Name,City,Payment Mode,Merchant Name,Product Category
16cfdf753107d378585cb3743355b939,6ae1933d60e4e11a509aebea7219c556,337.68,2023-04-02,Failed,GAC949,Gachibowli,Hyderabad,Debit,Merchant_69,Health
379b2aca70e3eddfe1b8e33c9732f7a9,0ec1d628f6b942c019ee01f5b2501a68,119.14,2023-07-16,Successful,GAC284,Gachibowli,Hyderabad,Debit,Merchant_42,Health
98b8e894e03e8320c58646f92e05209b,df52a00342422457924e88211a48f910,493.22,2023-11-07,Successful,GAC913,Gachibowli,Hyderabad,Net Banking,Merchant_18,Groceries
2588e780e861cc43292caa20798285f4,a4bffd5260ed395214b654b02aa78908,974.45,2023-10-19,Successful,GAC707,Gachibowli,Hyderabad,Net Banking,Merchant_90,Health
a97e77081f0eee6896bc1b70971b57ef,4aa6ad740762a8a3f8a324d8a96eead7,206.22,2023-07-02,Successful,GAC518,Gachibowli,Hyderabad,UPI,Merchant_73,Clothing
13904954d21e3e5ac063acafa6e076c7,84f18dd235b44f17493a5c660d62e343,374.15,2023-11-29,Failed,GAC722,Gachibowli,Hyderabad,Debit,Merchant_62,Groceries
3ffb54afd57b662132ffee35ca948ca6,b6d367245e3bda603f3f8c0628e899ae,440.39,2023-05-03,Failed,GAC345,Gachibowli,Hyderabad,Debit,Merchant_61,Clothing
fef427f8e2253f0e145e898729b272e5,c98874936bfcefc104a419b7135ebf1a,535.44,2023-02-09,Successful,GAC562,Gachibowli,Hyderabad,Net Banking,Merchant_50,Health
c9bc3366bef5640a200cddf2fadf19d1,24ce138987a3e9d66e0a575fd15606e4,729.0,2023-01-05,Successful,GAC572,Gachibowli,Hyderabad,Debit,Merchant_71,Electronics
e4cd5ce16679f5dcd2a0f1428622cfdb,09485303c40a5b498129e20b6666e10f,642.37,2023-10-19,Successful,GAC915,Gachibowli,Hyderabad,Debit,Merchant_43,Health
0e51fa99eb6cdb15ace9c8f79160c54f,91c5a82b9a125a33bcd00eb171f99b3a,879.16,2023-12-02,Failed,GAC822,Gachibowli,Hyderabad,Net Banking,Merchant_93,Health
cad5d2af7673151c76eb51c9b145c418,9844392a1d6afe701cc6d224006f5d35,46.87,2023-03-27,Failed,GAC457,Gachibowli,Hyderabad,Debit,Merchant_45,Groceries
c645dbed8599926a26a73407ac9f0dda,63e917fee0a85d3ab2b81d9593781bf6,511.26,2023-06-20,Successful,GAC427,Gachibowli,Hyderabad,UPI,Merchant_78,Health
c9996c9d1450c0b994d1ad98c567b8c8,14932414bd32a20deca8bc33c06e742a,351.64,2023-08-07,Successful,GAC984,Gachibowli,Hyderabad,Net Banking,Merchant_64,Electronics
a73fe04e8a7aaf6c0dc2791c2082b30a,84c402663a87a02bc924b8782cdc9ab8,746.52,2023-11-05,Failed,GAC112,Gachibowli,Hyderabad,Credit,Merchant_52,Clothing
10130c01046b4edb94f79fdebc8eebaa,e30c53d6b9fa3543732bc209bfee6620,440.76,2023-10-30,Successful,GAC156,Gachibowli,Hyderabad,UPI,Merchant_5,Groceries
